OAK,D.Mc,2013,9.0,11.0,48.0,0.0,0.0,0.0,4.0,0.0,7.0,12.0,57.0,0.0,0.0,0.0,5.0,0.0
BAL,E.Dickson,2013,12.0,17.0,143.0,0.0,2.0,0.0,6.0,1.0,11.0,14.0,79.0,1.0,6.0,43.0,7.0,0.0
BUF,R.Wingo,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1,0.0
TEN,T.Thompson,2013,1.0,1.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,0.0,2.0,0.0,2.0,0.0
JAC,M.Brown,2013,18.0,31.0,212.0,3.0,7.0,93.0,7.0,2.0,9.0,13.0,120.0,1.0,2.0,19.0,4.0,0.0
CLE,J.Cameron,2013,33.0,49.0,290.0,4.0,10.0,100.0,8.0,2.0,33.0,42.0,370.0,8.0,11.0,214.0,7.0,5.0
KC,A.Jenkins,2013,2.0,3.0,27.0,1.0,2.0,26.0,3.0,0.0,3.0,7.0,25.0,1.0,3.0,48.0,4.0,0.0
PHI,N.Foles,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,1,0.0
BAL,D.Clark,2013,13.0,21.0,150.0,1.0,1.0,18.0,6.0,2.0,16.0,25.0,148.0,0.0,2.0,0.0,5.0,1.0
ATL,B.Ewing,2013,1.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0
TEN,C.Johnson,2013,22.0,25.0,241.0,0.0,0.0,0.0,8.0,3.0,18.0,24.0,91.0,0.0,0.0,0.0,7.0,1.0
NYJ,J.Cumberland,2013,10.0,13.0,90.0,3.0,8.0,72.0,5.0,0.0,10.0,14.0,139.0,2.0,3.0,67.0,7.0,4.0
MIA,M.Thigpen,2013,4.0,6.0,32.0,0.0,0.0,0.0,4.0,1.0,2.0,3.0,50.0,0.0,0.0,0.0,2.0,0.0
KC,C.Gray,2013,2.0,3.0,15.0,0.0,0.0,0.0,3.0,0.0,5.0,6.0,31.0,0.0,0.0,0.0,3.0,0.0
SEA,S.Williams,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0.0
DET,K.Durham,2013,16.0,29.0,142.0,4.0,11.0,118.0,8.0,0.0,13.0,30.0,111.0,3.0,11.0,82.0,8.0,2.0
IND,D.Heyward,2013,11.0,23.0,104.0,1.0,8.0,27.0,6.0,1.0,15.0,24.0,155.0,0.0,6.0,0.0,7.0,0.0
TB,N.Byham,2013,0.0,0.0,0.0,1.0,1.0,34.0,1.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0
NYJ,J.Kerley,2013,20.0,33.0,195.0,4.0,10.0,95.0,7.0,2.0,12.0,17.0,109.0,6.0,8.0,116.0,5.0,1.0
TEN,J.Battle,2013,3.0,4.0,32.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0
CAR,K.Barner,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,7.0,0.0,0.0,0.0,2,0.0
SEA,L.Willson,2013,10.0,12.0,97.0,0.0,1.0,0.0,7.0,0.0,6.0,10.0,80.0,2.0,3.0,68.0,5.0,1.0
NYJ,G.Smith,2013,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0
BUF,C.Gragg,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,25.0,1.0,1.0,28.0,2,1.0
CIN,O.Charles,2013,1.0,2.0,8.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHI,B.Celek,2013,11.0,18.0,103.0,2.0,5.0,48.0,7.0,2.0,13.0,18.0,188.0,4.0,6.0,112.0,8.0,4.0
MIN,C.Ford,2013,8.0,9.0,100.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,11.0,1.0,2.0,20.0,4.0,0.0
BAL,T.Doss,2013,2.0,5.0,16.0,2.0,3.0,83.0,3.0,0.0,11.0,19.0,103.0,4.0,6.0,103.0,6.0,0.0
PIT,J.Dwyer,2013,5.0,7.0,33.0,0.0,0.0,0.0,4.0,0.0,3.0,4.0,31.0,0.0,0.0,0.0,3.0,0.0
BUF,S.Chandler,2013,20.0,34.0,242.0,2.0,4.0,41.0,8.0,1.0,28.0,33.0,299.0,3.0,8.0,73.0,8.0,1.0
SF,C.Kaepernick,2013,0.0,2.0,0.0,1.0,2.0,28.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAC,C.Shorts,2013,26.0,44.0,229.0,2.0,6.0,46.0,6.0,1.0,30.0,43.0,300.0,7.0,18.0,187.0,7.0,2.0
DET,J.Ross,2013,2.0,3.0,12.0,0.0,0.0,0.0,2.0,1.0,2.0,5.0,30.0,1.0,1.0,17.0,2.0,0.0
BAL,M.Brown,2013,18.0,25.0,213.0,1.0,9.0,35.0,8.0,1.0,23.0,28.0,195.0,1.0,10.0,24.0,6.0,5.0
TB,Tampa Bay,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0
NE,B.Bolden,2013,10.0,11.0,66.0,0.0,0.0,0.0,3.0,0.0,11.0,17.0,76.0,0.0,0.0,0.0,5.0,0.0
IND,D.Allen,2013,1.0,1.0,20.0,0.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,J.Finley,2013,15.0,16.0,133.0,1.0,1.0,26.0,3.0,2.0,7.0,10.0,118.0,0.0,4.0,0.0,3.0,1.0
IND,C.Fleener,2013,18.0,29.0,191.0,2.0,6.0,46.0,8.0,2.0,28.0,42.0,303.0,3.0,6.0,64.0,8.0,2.0
IND,S.Havili,2013,11.0,14.0,104.0,0.0,0.0,0.0,5.0,1.0,7.0,7.0,24.0,0.0,0.0,0.0,6.0,0.0
SF,V.Davis,2013,14.0,20.0,170.0,6.0,14.0,201.0,7.0,5.0,22.0,30.0,279.0,6.0,13.0,184.0,8.0,6.0
MIA,D.Thomas,2013,9.0,10.0,35.0,0.0,0.0,0.0,7.0,1.0,4.0,4.0,21.0,0.0,0.0,0.0,4.0,1.0
CLE,J.Gordon,2013,30.0,42.0,415.0,15.0,31.0,477.0,7.0,5.0,30.0,59.0,400.0,11.0,24.0,335.0,7.0,4.0
SD,V.Brown,2013,16.0,20.0,150.0,2.0,10.0,32.0,8.0,0.0,19.0,26.0,185.0,2.0,8.0,83.0,8.0,0.0
TB,M.James,2013,5.0,6.0,27.0,0.0,0.0,0.0,2.0,0.0,5.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0
BAL,V.Leach,2013,5.0,10.0,26.0,0.0,0.0,0.0,6.0,0.0,5.0,8.0,17.0,0.0,0.0,0.0,4.0,1.0
