BUF,M.Lynch,2009,11.0,15.0,75.0,0.0,0.0,0.0,5.0,0.0,15.0,20.0,101.0,0.0,0.0,0.0,6.0,0.0
SD,K.Osgood,2009,1.0,4.0,17.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYJ,D.Woodhead,2009,4.0,7.0,44.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,19.0,1.0,1.0,24.0,3.0,0.0
PHI,D.Mc,2009,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,28.0,0.0,0.0,0.0,1.0,0.0
BAL,W.Mc,2009,12.0,16.0,62.0,0.0,0.0,0.0,8.0,1.0,3.0,5.0,23.0,0.0,0.0,0.0,2.0,1.0
CAR,S.Smith,2009,29.0,49.0,274.0,6.0,11.0,211.0,7.0,3.0,18.0,33.0,128.0,9.0,21.0,280.0,8.0,3.0
ARI,E.Doucet,2009,9.0,10.0,94.0,0.0,1.0,0.0,4.0,1.0,7.0,9.0,91.0,1.0,2.0,29.0,5.0,0.0
CHI,A.Peterson,2009,2.0,2.0,11.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIN,A.Caldwell,2009,28.0,37.0,246.0,0.0,2.0,0.0,8.0,2.0,19.0,31.0,208.0,2.0,5.0,36.0,8.0,1.0
OAK,G.Russell,2009,10.0,13.0,82.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0
KC,M.Vrabel,2009,1.0,1.0,1.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIN,V.Shiancoe,2009,28.0,37.0,257.0,5.0,8.0,107.0,8.0,6.0,21.0,28.0,190.0,0.0,5.0,0.0,8.0,4.0
CLE,J.Harrison,2009,19.0,28.0,140.0,0.0,0.0,0.0,6.0,2.0,14.0,21.0,74.0,0.0,0.0,0.0,5.0,0.0
DAL,F.Jones,2009,10.0,11.0,65.0,0.0,0.0,0.0,8.0,0.0,8.0,10.0,50.0,0.0,0.0,0.0,3.0,0.0
SF,B.Jones,2009,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,18.0,1.0,0.0
STL,B.Gibson,2009,16.0,34.0,164.0,2.0,9.0,40.0,5.0,0.0,13.0,16.0,112.0,0.0,4.0,0.0,4.0,0.0
CLE,R.Royal,2009,6.0,15.0,37.0,3.0,3.0,73.0,6.0,1.0,2.0,6.0,20.0,0.0,1.0,0.0,4.0,0.0
ATL,J.Snelling,2009,11.0,14.0,122.0,0.0,0.0,0.0,7.0,1.0,19.0,25.0,137.0,0.0,0.0,0.0,7.0,0.0
GB,A.Rodgers,2009,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DEN,B.Marshall,2009,36.0,51.0,303.0,6.0,12.0,183.0,7.0,4.0,56.0,75.0,496.0,3.0,13.0,138.0,8.0,6.0
SEA,S.Wallace,2009,1.0,1.0,24.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,14.0,0.0,0.0,0.0,3.0,1.0
ATL,O.Mughelli,2009,5.0,8.0,44.0,0.0,0.0,0.0,5.0,1.0,2.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0
SF,V.Davis,2009,28.0,42.0,238.0,4.0,10.0,108.0,8.0,3.0,30.0,49.0,268.0,10.0,17.0,322.0,8.0,8.0
SD,J.Hester,2009,2.0,3.0,8.0,0.0,0.0,0.0,3.0,0.0,7.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0
MIA,A.Fasano,2009,16.0,23.0,235.0,1.0,4.0,45.0,7.0,1.0,13.0,20.0,144.0,1.0,3.0,18.0,7.0,1.0
PIT,S.Logan,2009,1.0,1.0,5.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OAK,T.Watkins,2009,2.0,5.0,11.0,0.0,0.0,0.0,2.0,0.0,5.0,8.0,51.0,1.0,4.0,28.0,5.0,0.0
PHI,H.Baskett,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,1,0.0
NYJ,B.Edwards,2009,13.0,21.0,176.0,6.0,12.0,188.0,6.0,2.0,10.0,19.0,78.0,3.0,10.0,63.0,6.0,1.0
JAC,M.Lewis,2009,11.0,19.0,133.0,8.0,13.0,213.0,8.0,2.0,9.0,18.0,73.0,4.0,8.0,95.0,6.0,0.0
DET,B.Johnson,2009,15.0,26.0,153.0,4.0,20.0,91.0,8.0,2.0,15.0,29.0,132.0,2.0,7.0,50.0,8.0,1.0
CAR,K.Moore,2009,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,6.0,37.0,1.0,1.0,22.0,4.0,0.0
KC,B.Cottam,2009,6.0,9.0,59.0,2.0,2.0,50.0,3.0,0.0,1.0,3.0,11.0,0.0,0.0,0.0,3.0,0.0
