GB,D.Driver,2012,4.0,7.0,23.0,1.0,1.0,26.0,5.0,2.0,3.0,5.0,28.0,0.0,0.0,0.0,4.0,0.0
TEN,N.Washington,2012,11.0,21.0,120.0,12.0,20.0,385.0,8.0,3.0,21.0,32.0,205.0,1.0,10.0,21.0,8.0,1.0
DAL,P.Tanner,2012,3.0,4.0,33.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0
NE,B.Bolden,2012,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0
CLE,B.Jackson,2012,2.0,4.0,20.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,C.Batch,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0
TEN,D.Reynaud,2012,3.0,3.0,17.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,35.0,0.0,2.0,0.0,4.0,0.0
CHI,E.Weems,2012,1.0,1.0,9.0,1.0,2.0,18.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
IND,C.Fleener,2012,11.0,18.0,84.0,0.0,5.0,0.0,6.0,1.0,12.0,19.0,125.0,3.0,6.0,72.0,6.0,1.0
ARI,J.King,2012,13.0,19.0,115.0,0.0,0.0,0.0,8.0,0.0,4.0,8.0,14.0,0.0,0.0,0.0,3.0,0.0
SEA,S.Rice,2012,7.0,19.0,77.0,7.0,10.0,192.0,8.0,4.0,26.0,34.0,292.0,7.0,12.0,150.0,8.0,2.0
PIT,M.Wallace,2012,24.0,37.0,197.0,3.0,12.0,77.0,7.0,2.0,28.0,41.0,308.0,3.0,16.0,104.0,8.0,3.0
IND,A.Collie,2012,1.0,1.0,6.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,H.Miller,2012,22.0,33.0,224.0,2.0,5.0,36.0,7.0,2.0,41.0,50.0,433.0,3.0,4.0,83.0,8.0,5.0
KC,P.Hillis,2012,5.0,7.0,22.0,0.0,0.0,0.0,5.0,0.0,5.0,7.0,40.0,0.0,0.0,0.0,6.0,0.0
PIT,D.Paulson,2012,4.0,7.0,29.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,14.0,0.0,0.0,0.0,2.0,0.0
JAC,C.Henne,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0
JAC,J.Blackmon,2012,31.0,49.0,273.0,3.0,11.0,60.0,8.0,3.0,23.0,52.0,259.0,6.0,12.0,263.0,8.0,2.0
BAL,D.Thompson,2012,1.0,1.0,25.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,26.0,0.0,0.0,0.0,1.0,0.0
GB,R.Cobb,2012,32.0,37.0,255.0,7.0,13.0,188.0,8.0,4.0,31.0,38.0,305.0,7.0,10.0,184.0,7.0,4.0
HOU,A.Foster,2012,11.0,22.0,54.0,0.0,0.0,0.0,8.0,0.0,29.0,36.0,163.0,0.0,0.0,0.0,8.0,2.0
DAL,D.Murray,2012,22.0,25.0,175.0,0.0,0.0,0.0,5.0,0.0,12.0,15.0,72.0,0.0,0.0,0.0,5.0,0.0
HOU,G.Graham,2012,14.0,20.0,95.0,2.0,2.0,50.0,7.0,3.0,10.0,14.0,72.0,1.0,2.0,27.0,6.0,0.0
JAC,K.Toston,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,41.0,0.0,0.0,0.0,1,0.0
NE,W.Welker,2012,50.0,73.0,535.0,3.0,11.0,86.0,8.0,2.0,58.0,73.0,525.0,5.0,13.0,175.0,8.0,4.0
TEN,L.Hawkins,2012,3.0,6.0,15.0,1.0,2.0,42.0,4.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0
NO,L.Moore,2012,16.0,23.0,170.0,13.0,18.0,385.0,7.0,3.0,27.0,45.0,271.0,8.0,13.0,204.0,8.0,3.0
TB,L.Blount,2012,1.0,2.0,2.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAR,J.Adams,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1,0.0
HOU,A.Johnson,2012,57.0,67.0,656.0,11.0,22.0,319.0,8.0,3.0,38.0,55.0,423.0,5.0,13.0,177.0,8.0,1.0
DAL,M.Austin,2012,26.0,38.0,310.0,9.0,21.0,205.0,8.0,3.0,21.0,38.0,237.0,7.0,13.0,166.0,8.0,3.0
IND,K.Adams,2012,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,26.0,0.0,0.0,0.0,1.0,0.0
