IND,Z.Tipton,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,57.0,0.0,1.0,0.0,3,0.0
GB,J.Janis,2015,1.0,2.0,33.0,1.0,3.0,46.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0
NE,D.Lewis,2015,18.0,21.0,183.0,0.0,2.0,0.0,4.0,2.0,14.0,23.0,117.0,1.0,1.0,40.0,3.0,1.0
NO,B.Coleman,2015,10.0,14.0,119.0,5.0,10.0,134.0,8.0,1.0,9.0,11.0,81.0,4.0,11.0,86.0,6.0,1.0
ATL,T.Moeaki,2015,2.0,3.0,47.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,11.0,0.0,0.0,0.0,2.0,0.0
STL,L.Kendricks,2015,9.0,13.0,55.0,1.0,2.0,37.0,6.0,1.0,14.0,22.0,123.0,1.0,1.0,30.0,8.0,1.0
NYG,L.Donnell,2015,16.0,21.0,91.0,1.0,2.0,22.0,4.0,2.0,11.0,13.0,88.0,1.0,2.0,22.0,4.0,0.0
SF,A.Boldin,2015,31.0,47.0,281.0,4.0,7.0,95.0,7.0,2.0,29.0,44.0,265.0,3.0,6.0,91.0,7.0,2.0
STL,B.Quick,2015,3.0,8.0,56.0,0.0,7.0,0.0,4.0,0.0,7.0,12.0,46.0,0.0,5.0,0.0,5.0,0.0
NYG,W.Tye,2015,17.0,28.0,145.0,5.0,5.0,139.0,6.0,2.0,19.0,27.0,175.0,0.0,1.0,0.0,7.0,1.0
STL,S.Mannion,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1,0.0
DAL,C.Beasley,2015,33.0,45.0,376.0,1.0,2.0,21.0,8.0,6.0,16.0,25.0,138.0,0.0,0.0,0.0,8.0,0.0
IND,J.Doyle,2015,6.0,6.0,33.0,0.0,0.0,0.0,4.0,1.0,6.0,8.0,39.0,0.0,0.0,0.0,3.0,0.0
PHI,M.Austin,2015,2.0,4.0,23.0,1.0,4.0,37.0,4.0,0.0,8.0,16.0,98.0,2.0,5.0,66.0,6.0,1.0
BAL,C.Gillmore,2015,13.0,16.0,166.0,1.0,2.0,25.0,4.0,2.0,16.0,21.0,141.0,3.0,5.0,80.0,6.0,2.0
GB,J.Jones,2015,11.0,26.0,123.0,8.0,19.0,238.0,8.0,4.0,21.0,29.0,213.0,7.0,18.0,223.0,8.0,4.0
JAC,B.Walters,2015,8.0,14.0,43.0,3.0,4.0,80.0,5.0,0.0,14.0,19.0,144.0,3.0,3.0,67.0,6.0,1.0
ARI,Jo.Brown,2015,11.0,13.0,96.0,2.0,6.0,83.0,4.0,3.0,10.0,11.0,95.0,4.0,13.0,155.0,3.0,1.0
TB,R.Shepard,2015,1.0,1.0,6.0,1.0,3.0,18.0,3.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,4.0,1.0
CAR,J.Cotchery,2015,12.0,17.0,134.0,3.0,4.0,109.0,7.0,1.0,20.0,26.0,162.0,3.0,5.0,72.0,7.0,2.0
ARI,D.Fells,2015,7.0,11.0,107.0,3.0,4.0,61.0,6.0,2.0,10.0,11.0,131.0,0.0,1.0,0.0,5.0,1.0
JAC,N.Jacobs,2015,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0
SEA,C.Helfet,2015,6.0,10.0,55.0,0.0,0.0,0.0,4.0,0.0,7.0,11.0,75.0,0.0,1.0,0.0,3.0,0.0
TB,D.Dye,2015,3.0,9.0,30.0,1.0,5.0,16.0,5.0,0.0,7.0,14.0,89.0,0.0,2.0,0.0,4.0,1.0
SD,A.Gates,2015,26.0,38.0,235.0,2.0,4.0,70.0,5.0,2.0,26.0,37.0,282.0,2.0,5.0,43.0,6.0,3.0
SD,S.Johnson,2015,24.0,35.0,231.0,2.0,2.0,43.0,5.0,1.0,14.0,20.0,137.0,1.0,2.0,25.0,4.0,2.0
STL,C.Davis,2015,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,20.0,1.0,0.0
NO,C.Spiller,2015,15.0,21.0,88.0,1.0,3.0,80.0,7.0,2.0,16.0,17.0,61.0,0.0,1.0,0.0,5.0,0.0
PHI,S.Ajirotutu,2015,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
NO,B.Watson,2015,34.0,46.0,327.0,5.0,7.0,132.0,8.0,4.0,25.0,38.0,195.0,5.0,10.0,118.0,8.0,1.0
KC,J.Avant,2015,4.0,6.0,26.0,0.0,1.0,0.0,4.0,0.0,11.0,16.0,93.0,0.0,1.0,0.0,6.0,0.0
ATL,T.Ward,2015,6.0,10.0,50.0,0.0,0.0,0.0,5.0,0.0,3.0,3.0,23.0,0.0,0.0,0.0,3.0,0.0
