HOU,D.Johnson,2013,5,8,25,0,0,0,6,3,4,21,0,0,0,6
DEN,A.Caldwell,2013,8,12,78,1,7,28,12,5,9,42,2,5,52,12
DEN,J.Dreessen,2013,4,5,21,0,0,0,6,3,4,26,0,1,0,6
MIN,A.Peterson,2013,16,20,73,0,0,0,14,13,19,99,0,0,0,14
SEA,Z.Miller,2013,16,28,130,4,5,133,13,13,21,124,0,2,0,13
ATL,B.Robiskie,2013,0,1,0,0,0,0,1,0,0,0,0,0,0,1
CHI,M.Wilson,2013,1,1,10,0,0,0,3,1,2,3,0,0,0,3
JAC,D.Robinson,2013,0,1,0,0,0,0,2,0,0,0,0,1,0,2
BAL,B.Pierce,2013,15,19,82,0,0,0,12,8,9,33,0,0,0,12
ARI,B.Golden,2013,0,0,0,0,1,0,5,3,8,83,1,3,53,5
TEN,K.Wright,2013,56,73,578,5,12,114,16,32,47,310,5,12,142,16
TEN,C.Stevens,2013,1,2,6,0,0,0,6,1,4,-1,0,0,0,6
OAK,T.Pryor,2013,0,1,0,0,1,0,2,0,0,0,0,0,0,2
STL,A.Pettis,2013,18,26,143,2,6,58,14,17,26,172,0,6,0,14
ARI,A.Roberts,2013,17,30,164,3,10,76,16,20,27,161,1,9,19,16
MIN,Jo.Webb,2013,3,7,24,0,0,0,6,2,4,9,0,0,0,6
STL,M.Mc,2013,0,0,0,0,0,0,1,1,1,5,0,0,0,1
TEN,S.Greene,2013,4,4,11,0,0,0,5,3,4,29,0,0,0,5
IND,D.Brown,2013,15,17,123,0,0,0,13,12,19,91,0,0,0,13
ARI,K.Sperry,2013,0,0,0,0,0,0,1,0,0,0,1,1,16,1
MIN,Z.Line,2013,0,1,0,0,0,0,3,1,2,8,0,0,0,3
GB,J.Boykin,2013,26,40,258,4,11,130,12,17,26,208,3,7,106,12
ATL,H.Douglas,2013,43,54,362,3,6,131,16,35,63,428,4,11,154,16
JAC,C.Harbor,2013,8,12,76,2,2,59,14,14,20,157,0,2,0,14
CIN,B.Tate,2013,0,1,0,0,0,0,2,1,1,6,0,0,0,2
ATL,J.Vaughan,2013,0,0,0,0,0,0,1,2,2,7,0,0,0,1
WAS,D.Young,2013,2,4,5,0,0,0,5,1,3,4,1,2,62,5
MIA,N.Carroll,2013,1,1,3,0,0,0,1,0,0,0,0,0,0,1
SF,V.Mc,2013,3,8,38,0,2,0,10,3,6,38,1,2,23,10
TEN,C.Mooney,2013,1,1,3,0,0,0,5,6,6,31,0,0,0,5
CAR,D.Williams,2013,3,3,17,0,0,0,1,0,0,0,0,0,0,1
ARI,T.Williams,2013,0,0,0,1,1,51,1,0,0,0,0,0,0,1
TB,V.Jackson,2013,32,58,330,11,24,361,16,28,56,347,8,22,274,16
NYG,H.Hynoski,2013,0,0,0,0,0,0,2,1,2,5,0,0,0,2
TEN,V.Shiancoe,2013,0,0,0,0,0,0,1,3,3,-5,0,0,0,1
CHI,D.Rosario,2013,1,4,13,0,0,0,3,0,0,0,0,0,0,3
OAK,D.Mc,2013,10,12,51,0,0,0,9,7,12,57,0,0,0,9
BAL,E.Dickson,2013,12,17,143,1,3,-14,14,11,15,79,1,6,43,14
BUF,R.Wingo,2013,0,0,0,0,0,0,1,1,1,2,0,0,0,1
TEN,T.Thompson,2013,1,1,9,0,0,0,3,2,3,4,0,2,0,3
JAC,M.Brown,2013,18,33,212,3,8,93,11,9,13,120,1,2,19,11
CLE,J.Cameron,2013,34,54,301,4,10,100,15,34,44,376,8,11,214,15
KC,A.Jenkins,2013,2,3,27,1,2,26,7,3,8,25,1,4,48,7
PHI,N.Foles,2013,0,0,0,0,0,0,1,1,1,16,0,0,0,1
BAL,D.Clark,2013,14,22,155,1,1,18,11,17,26,175,0,2,0,11
ATL,B.Ewing,2013,1,1,14,0,0,0,2,1,1,15,0,0,0,2
TEN,C.Johnson,2013,23,26,254,0,0,0,15,19,25,104,0,0,0,15
NYJ,J.Cumberland,2013,10,13,90,3,10,72,13,11,16,144,2,4,67,13
MIA,M.Thigpen,2013,4,6,32,0,0,0,6,2,3,50,0,0,0,6
KC,C.Gray,2013,2,3,15,0,0,0,6,5,6,31,0,0,0,6
SEA,S.Williams,2013,0,0,0,0,1,0,3,0,1,0,0,1,0,3
DET,K.Durham,2013,18,32,169,4,12,118,16,13,30,111,3,11,82,16
IND,D.Heyward,2013,13,27,121,1,8,27,13,16,27,160,0,7,0,13
TB,N.Byham,2013,0,0,0,1,1,34,3,2,2,4,0,0,0,3
NYJ,J.Kerley,2013,21,34,203,4,11,95,12,12,18,109,6,8,116,12
TEN,J.Battle,2013,3,4,32,0,0,0,4,1,1,4,0,0,0,4
CAR,K.Barner,2013,0,0,0,0,0,0,2,2,3,7,0,0,0,2
SEA,L.Willson,2013,11,13,109,0,1,0,13,7,11,91,2,3,68,13
NYJ,G.Smith,2013,0,0,0,0,1,0,2,1,1,13,0,0,0,2
BUF,C.Gragg,2013,0,0,0,0,0,0,2,4,6,25,1,1,28,2
CIN,O.Charles,2013,1,2,8,0,0,0,1,0,0,0,0,0,0,1
PHI,B.Celek,2013,11,18,103,2,6,48,15,13,19,188,4,6,112,15
MIN,C.Ford,2013,9,10,102,0,1,0,8,1,3,11,1,2,20,8
BAL,T.Doss,2013,3,8,27,3,4,99,10,11,19,103,4,6,103,10
PIT,J.Dwyer,2013,6,8,39,0,0,0,7,3,4,31,0,0,0,7
BUF,S.Chandler,2013,20,35,242,2,4,41,16,28,34,299,3,9,73,16
SF,C.Kaepernick,2013,0,2,0,1,2,28,4,0,0,0,0,0,0,4
JAC,C.Shorts,2013,28,49,254,2,8,46,13,30,43,300,7,19,187,13
DET,J.Ross,2013,2,3,12,0,0,0,4,2,5,30,1,1,17,4
BAL,M.Brown,2013,19,26,215,1,11,35,14,23,28,195,1,13,24,14
TB,Tampa Bay,2013,0,0,0,0,0,0,1,0,1,0,0,0,0,1
NE,B.Bolden,2013,10,11,66,0,0,0,8,11,17,76,0,0,0,8
IND,D.Allen,2013,1,2,20,0,1,0,1,0,0,0,0,0,0,1
GB,J.Finley,2013,17,19,165,1,1,26,6,8,11,131,0,5,0,6
IND,C.Fleener,2013,19,30,206,2,7,46,16,28,43,303,3,6,64,16
IND,S.Havili,2013,11,15,104,0,0,0,11,7,7,24,0,0,0,11
SF,V.Davis,2013,14,20,170,6,14,201,15,22,30,279,6,13,184,15
MIA,D.Thomas,2013,9,10,35,0,0,0,12,5,5,25,0,0,0,12
CLE,J.Gordon,2013,30,42,415,15,32,477,14,30,60,400,11,25,335,14
SD,V.Brown,2013,17,23,162,2,12,32,16,19,27,185,3,9,113,16
TB,M.James,2013,5,6,27,0,0,0,4,5,5,16,0,0,0,4
BAL,V.Leach,2013,6,11,30,0,0,0,10,5,8,17,0,0,0,10
PIT,D.Paulson,2013,1,4,6,1,1,37,5,2,3,15,1,1,30,5
PHI,J.Maehl,2013,0,2,0,0,2,0,5,2,2,11,2,2,56,5
MIA,R.Tannehill,2013,0,0,0,0,0,0,1,0,1,0,0,0,0,1
NE,T.Brady,2013,1,1,-2,0,0,0,1,0,0,0,0,0,0,1
MIA,C.Clay,2013,22,33,201,2,3,66,16,38,52,323,3,6,127,16
NO,J.Graham,2013,35,52,363,6,10,169,16,37,60,402,6,16,239,16
CAR,M.Mc,2013,0,0,0,0,0,0,1,0,0,0,0,1,0,1
GB,R.Cobb,2013,11,15,120,2,3,43,6,13,22,129,4,5,130,6
DET,B.Pettigrew,2013,19,29,123,1,3,18,14,16,24,162,4,6,95,14
HOU,A.Foster,2013,12,21,140,0,0,0,7,11,15,51,0,0,0,7
PHI,R.Cooper,2013,19,34,216,6,16,158,16,16,24,209,8,14,256,16
NE,D.Williams,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,1
BAL,J.Jones,2013,13,18,115,4,9,148,12,18,24,138,2,13,48,12
NYG,M.Cox,2013,2,2,1,0,0,0,2,1,1,11,0,0,0,2
NO,J.Hill,2013,5,6,33,0,1,0,6,2,4,16,0,1,0,6
SF,A.Snyder,2013,1,1,2,1,1,61,2,0,0,0,0,0,0,2
ARI,S.Taylor,2013,5,5,24,0,0,0,5,3,4,47,0,0,0,5
NO,K.Stills,2013,8,13,75,8,14,362,16,12,13,116,4,11,88,16
IND,G.Whalen,2013,12,15,116,1,5,25,7,11,17,112,1,4,17,7
DAL,M.Austin,2013,18,29,187,0,4,0,11,7,15,75,0,1,0,11
DET,K.Ogletree,2013,3,4,36,2,3,63,7,7,14,68,1,6,32,7
SF,A.Dixon,2013,1,1,3,0,0,0,2,2,2,27,0,0,0,2
PHI,Z.Ertz,2013,10,16,102,6,8,144,15,20,28,188,2,7,62,15
IND,T.Hilton,2013,34,52,291,13,28,429,16,31,48,235,4,16,123,16
CLE,E.Baker,2013,4,4,46,0,0,0,3,4,6,11,0,0,0,3
OAK,M.Reece,2013,12,19,131,2,2,43,15,19,32,150,2,4,42,15
NE,M.Hoomanawanui,2013,7,10,105,0,0,0,10,5,8,31,0,1,0,10
DAL,T.Williams,2013,12,17,113,6,14,238,16,19,33,226,6,10,153,16
SF,K.Osgood,2013,1,1,17,0,0,0,1,0,0,0,0,0,0,1
NYJ,A.Green,2013,0,0,0,0,0,0,2,2,2,8,0,0,0,2
HOU,K.Martin,2013,13,22,161,0,1,0,12,9,14,82,1,2,17,12
SD,K.Allen,2013,32,43,371,5,8,137,15,26,38,381,7,15,156,15
NYG,A.Brown,2013,13,18,51,0,0,0,7,8,11,52,0,1,0,7
IND,D.Herron,2013,1,1,57,0,0,0,1,0,0,0,0,0,0,1
TB,B.Rainey,2013,7,9,37,0,0,0,8,4,7,13,0,0,0,8
PIT,M.Wheaton,2013,3,6,38,0,1,0,4,3,4,26,0,1,0,4
CLE,J.Campbell,2013,0,0,0,0,0,0,1,0,0,0,0,1,0,1
NO,R.Meachem,2013,5,8,90,2,4,61,14,7,10,72,1,7,60,14
NO,M.Colston,2013,42,54,499,6,13,135,15,26,40,226,3,9,89,15
PIT,D.Moye,2013,0,0,0,1,3,19,4,1,1,1,0,1,0,4
DEN,E.Decker,2013,31,48,386,6,14,150,16,36,56,289,12,20,408,16
SD,D.Woodhead,2013,30,35,192,2,2,65,16,40,45,307,1,1,20,16
CHI,M.Bennett,2013,32,39,370,1,3,22,16,30,47,310,4,9,119,16
HOU,B.Tate,2013,17,22,78,0,0,0,13,17,28,62,0,0,0,13
MIN,K.Rudolph,2013,19,22,161,1,4,21,8,8,14,80,2,5,51,8
NYG,P.Hillis,2013,9,15,75,0,0,0,6,4,6,21,0,0,0,6
NE,J.Boyce,2013,3,5,49,0,2,0,6,6,11,46,1,3,30,6
OAK,A.Holmes,2013,6,15,62,3,5,66,10,9,15,129,6,13,159,10
DEN,M.Ball,2013,10,14,70,0,1,0,10,9,11,73,0,0,0,10
WAS,Al.Robinson,2013,0,0,0,0,0,0,1,3,9,33,0,2,0,1
CHI,Jo.Anderson,2013,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ARI,J.Brown,2013,4,6,35,2,3,48,11,3,6,25,1,2,19,11
SF,G.Celek,2013,1,1,30,0,1,0,3,2,3,18,0,0,0,3
ATL,A.Smith,2013,0,0,0,0,0,0,2,2,2,10,0,1,0,2
TEN,D.Williams,2013,10,12,98,1,4,25,8,4,6,55,0,2,0,8
DEN,J.Tamme,2013,6,8,61,0,1,0,9,14,17,111,1,1,24,9
DET,J.Fauria,2013,8,11,99,0,4,0,10,7,11,50,2,3,48,10
OAK,D.Moore,2013,17,28,227,6,12,179,13,22,40,226,2,5,96,13
CHI,E.Weems,2013,0,0,0,0,0,0,1,1,1,8,0,1,0,1
SEA,D.Baldwin,2013,13,21,137,5,10,185,16,21,29,223,7,11,161,16
CLE,W.Mc,2013,3,5,16,0,0,0,7,5,6,4,0,0,0,7
NYJ,M.Campbell,2013,0,0,0,0,0,0,1,0,0,0,0,2,0,1
NYG,L.Donnell,2013,3,4,31,0,1,0,5,0,1,0,0,1,0,5
IND,R.Wayne,2013,20,26,189,3,5,63,7,11,20,128,6,8,143,7
DET,N.Burleson,2013,18,22,191,1,1,27,9,18,28,176,2,2,67,9
NYJ,S.Hakim,2013,0,0,0,0,0,0,1,0,0,0,0,1,0,1
JAC,J.Todman,2013,9,15,64,1,1,21,10,6,11,31,0,0,0,10
NYJ,B.Powell,2013,17,28,150,0,0,0,16,20,30,129,1,2,30,16
WAS,J.Reed,2013,21,24,218,1,1,38,9,21,29,223,1,2,17,9
CLE,A.Edwards,2013,1,2,10,0,0,0,1,0,0,0,0,0,0,1
SEA,K.Davis,2013,1,2,8,1,1,23,4,1,2,1,0,0,0,4
NYG,B.Jacobs,2013,0,3,0,0,0,0,4,2,3,13,0,0,0,4
IND,D.Rogers,2013,4,7,43,0,1,0,5,10,13,149,0,5,0,5
MIN,J.Felton,2013,1,1,5,0,0,0,6,5,7,32,0,0,0,6
JAC,J.Ebert,2013,2,6,13,0,0,0,3,0,2,0,0,0,0,3
WAS,L.Paulsen,2013,15,21,132,1,3,27,14,12,24,82,1,3,33,14
DEN,W.Welker,2013,42,56,349,7,11,174,13,21,37,192,4,8,82,13
WAS,R.Helu,2013,13,18,85,1,1,20,16,17,22,152,0,0,0,16
SEA,R.Lockette,2013,2,2,17,2,2,60,6,1,1,15,0,1,0,6
PIT,D.Johnson,2013,2,3,30,1,1,32,4,1,2,8,0,0,0,4
KC,R.Gordon,2013,0,0,0,0,0,0,1,1,1,3,0,0,0,1
WAS,E.Royster,2013,1,1,3,0,0,0,1,0,0,0,0,0,0,1
NYJ,T.Bohanon,2013,4,9,47,0,0,0,10,7,8,22,0,0,0,10
NO,B.Watson,2013,9,14,87,2,4,37,13,8,10,71,1,4,32,13
PHI,L.Mc,2013,30,38,251,1,1,49,16,19,26,220,0,0,0,16
OAK,B.Butler,2013,3,6,16,1,3,20,8,3,3,22,2,3,45,8
HOU,L.Jean,2013,1,2,6,0,1,0,6,2,3,21,0,1,0,6
HOU,B.Smelley,2013,0,0,0,0,0,0,1,1,1,2,0,0,0,1
CIN,J.Gresham,2013,23,30,195,3,5,53,14,17,27,132,3,6,78,14
NYG,D.Wilson,2013,0,0,0,0,2,0,3,2,3,8,0,0,0,3
TB,S.Dawson,2013,3,5,18,0,3,0,5,0,0,0,0,2,0,5
CHI,M.Bush,2013,2,3,23,0,0,0,5,2,4,25,0,0,0,5
